,Title,Year,Rating,Rating Count
tt0032551,The Grapes of Wrath,1940,8.0,"80,640"
tt0033870,The Maltese Falcon,1941,8.0,"140,084"
tt0088247,The Terminator,1984,8.0,"726,682"
tt0101640,Raise the Red Lantern,1991,8.0,"25,586"
tt4016934,The Handmaiden,2016,8.0,"78,025"
tt0083987,Gandhi,1982,8.0,"206,767"
tt0113247,La Haine,1995,8.0,"131,502"
tt0246578,Donnie Darko,2001,8.0,"695,874"
tt0118694,In the Mood for Love,2000,8.0,"105,234"
tt0046911,Diabolique,1955,8.0,"56,402"
tt0107048,Groundhog Day,1993,8.0,"539,689"
tt1454029,The Help,2011,8.0,"391,358"
tt0032138,The Wizard of Oz,1939,8.0,"351,009"
tt0073195,Jaws,1975,8.0,"508,521"
tt2015381,Guardians of the Galaxy,2014,8.0,"941,161"
tt0381681,Before Sunset,2004,8.0,"207,302"
tt0092067,Castle in the Sky,1986,8.0,"127,308"
tt0087884,"Paris, Texas",1984,8.0,"74,238"
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,"961,415"
tt0050783,The Nights of Cabiria,1957,8.0,"38,629"
tt0101414,Beauty and the Beast,1991,8.0,"387,954"
tt0070047,The Exorcist,1973,8.0,"332,258"
tt0111495,Three Colors: Red,1994,8.0,"79,786"
tt0094625,Akira,1988,8.0,"138,660"
tt1954470,Gangs of Wasseypur,2012,8.0,"68,718"
tt2338151,PK,2014,8.0,"137,003"
