Code,Title,Season,Rating Mean,Episode Max,Rating,Rating Count,Rank
tt1124373,Sons of Anarchy,7,8.738461538461538,13,8.5,"229,299",194
tt0111958,Father Ted,3,8.7375,8,8.6,"32,737",130
tt3647998,Taboo,1,8.7375,8,8.4,"98,876",220
tt1641384,Young Justice,1,8.734615384615385,26,8.6,"27,090",96
tt1695360,The Legend of Korra,1,8.733333333333334,12,8.4,"85,000",216
tt0070644,Scenes from a Marriage,1,8.733333333333334,6,8.4,"13,718",210
tt3032476,Better Call Saul,2,8.73,10,8.6,"245,742",84
tt0804503,Mad Men,7,8.728571428571428,14,8.6,"179,094",116
tt4288182,Atlanta,2,8.727272727272727,11,8.6,"38,677",114
tt2701582,Endeavour,6,8.725000000000001,4,8.5,"14,032",191
tt1586680,Shameless,6,8.725,12,8.6,"169,404",119
tt1489428,Justified,3,8.723076923076922,13,8.5,"76,628",139
tt0903747,Breaking Bad,3,8.723076923076922,13,9.4,"1,185,584",5
tt2244495,The Eric Andre Show,4,8.720000000000002,10,8.5,"8,760",154
tt6763664,The Haunting of Hill House,1,8.719999999999999,10,8.7,"111,538",73
tt0141842,The Sopranos,6,8.719047619047618,21,9.1,"249,831",13
tt0290978,The Office,2,8.716666666666667,6,8.5,"86,136",171
tt0367279,Arrested Development,3,8.715384615384618,13,8.8,"254,511",45
tt0979432,Boardwalk Empire,5,8.7125,8,8.5,"158,954",145
tt2707408,Narcos,1,8.71,10,8.8,"289,434",49
tt2788432,American Crime Story,1,8.709999999999999,10,8.5,"66,511",202
tt0367279,Arrested Development,2,8.705555555555556,18,8.8,"254,511",45
tt0108778,Friends,10,8.705555555555556,18,8.8,"665,928",39
tt0237123,Coupling,2,8.7,9,8.5,"40,032",161
tt4786824,The Crown,2,8.7,10,8.6,"81,150",88
tt2297757,Nathan for You,4,8.7,8,8.7,"13,631",68
tt1489428,Justified,2,8.692307692307692,13,8.5,"76,628",139
tt0773262,Dexter,5,8.691666666666665,12,8.6,"594,550",95
tt1632701,Suits,6,8.6875,16,8.4,"324,466",226
tt2297757,Nathan for You,2,8.6875,8,8.7,"13,631",68
tt0096657,Mr. Bean,1,8.686666666666666,15,8.5,"87,292",168
tt0903747,Breaking Bad,1,8.685714285714285,7,9.4,"1,185,584",5
tt1124373,Sons of Anarchy,6,8.684615384615386,13,8.5,"229,299",194
tt5555260,This Is Us,1,8.683333333333334,18,8.6,"75,959",100
tt2442560,Peaky Blinders,1,8.683333333333332,6,8.7,"190,817",57
tt2244495,The Eric Andre Show,3,8.680000000000001,10,8.5,"8,760",154
tt0475784,Westworld,1,8.679999999999998,10,8.8,"338,619",56
tt1119644,Fringe,5,8.676923076923076,13,8.3,"206,035",244
tt0086831,"Yes, Prime Minister",1,8.675,8,8.5,"7,973",151
tt2701582,Endeavour,2,8.675,4,8.5,"14,032",191
tt0203082,Samurai X: Trust and Betrayal,1,8.675,4,8.6,"11,536",122
