Key,Title,Season,Rating Mean,Number of Episodes
tt0108778,Friends,4,8.525000000000002,24
tt0319969,Carnivàle,2,8.525,12
tt1870479,The Newsroom,1,8.52,10
tt2306299,Vikings,3,8.52,10
tt0417373,The Venture Bros.,4,8.51764705882353,17
tt2100976,Impractical Jokers,3,8.515625000000002,32
tt0804503,Mad Men,3,8.515384615384615,13
tt1439629,Community,5,8.515384615384615,13
tt0106028,Homicide: Life on the Street,6,8.513043478260872,23
tt1606375,Downton Abbey,2,8.511111111111111,9
tt2861424,Rick and Morty,2,8.51,10
tt0111958,Father Ted,2,8.50909090909091,11
tt1124373,Sons of Anarchy,3,8.507692307692308,13
tt2100976,Impractical Jokers,2,8.50357142857143,28
tt0098833,Jeeves and Wooster,2,8.5,6
tt0106028,Homicide: Life on the Street,2,8.5,4
tt1305826,Adventure Time,9,8.5,14
tt0386676,The Office,5,8.496153846153847,26
tt0121955,South Park,6,8.494117647058824,17
tt5249462,Boku dake ga inai machi,1,8.491666666666665,12
tt0264235,Curb Your Enthusiasm,2,8.489999999999998,10
tt4288182,Atlanta,1,8.489999999999998,10
tt0417373,The Venture Bros.,5,8.488888888888887,9
tt2356777,True Detective,3,8.4875,8
tt5788792,The Marvelous Mrs. Maisel,1,8.4875,8
tt0108778,Friends,2,8.487499999999999,24
tt0098904,Seinfeld,9,8.486363636363633,22
tt1474684,Luther,1,8.485714285714286,7
tt2384811,Utopia,1,8.483333333333334,6
tt0384766,Rome,1,8.483333333333333,12
tt0348914,Deadwood,1,8.483333333333333,12
tt0108778,Friends,8,8.483333333333333,24
tt0275137,Justice League,2,8.48076923076923,26
tt2575988,Silicon Valley,2,8.48,10
tt0264235,Curb Your Enthusiasm,3,8.48,10
tt0264235,Curb Your Enthusiasm,4,8.48,10
tt0108778,Friends,7,8.479166666666666,24
tt1119644,Fringe,3,8.47272727272727,22
tt0264235,Curb Your Enthusiasm,8,8.47,10
tt4299972,The Jinx: The Life and Deaths of Robert Durst,1,8.466666666666667,6
tt0367279,Arrested Development,1,8.463636363636363,22
tt2861424,Rick and Morty,1,8.463636363636363,11
tt1865718,Gravity Falls,1,8.459999999999999,20
tt2701582,Endeavour,1,8.459999999999999,5
tt2100976,Impractical Jokers,1,8.458823529411765,17
tt0387199,Entourage,4,8.458333333333334,12
tt1586680,Shameless,8,8.45833333333333,12
tt1492966,Louie,4,8.457142857142857,14
tt1870479,The Newsroom,2,8.455555555555556,9
tt1124373,Sons of Anarchy,1,8.453846153846154,13
tt0108778,Friends,3,8.451999999999998,25
tt0088484,Blackadder II,1,8.450000000000001,6
tt0092324,Blackadder the Third,1,8.450000000000001,6
tt5288312,Skam,4,8.45,10
tt0081912,Only Fools and Horses....,4,8.45,8
tt2467372,Brooklyn Nine-Nine,5,8.445454545454545,22
tt0121955,South Park,5,8.442857142857143,14
tt0863046,Flight of the Conchords,1,8.441666666666666,12
tt0979432,Boardwalk Empire,1,8.441666666666666,12
tt2306299,Vikings,4,8.44,20
tt0386676,The Office,2,8.436363636363636,22
tt0758745,Friday Night Lights,3,8.430769230769231,13
tt0472954,It's Always Sunny in Philadelphia,4,8.430769230769231,13
tt5290382,Mindhunter,1,8.43,10
tt0472954,It's Always Sunny in Philadelphia,2,8.43,10
tt0081912,Only Fools and Horses....,3,8.425,8
tt2528254,This Is England '90,1,8.425,4
tt1492966,Louie,5,8.425,8
tt2049116,Gomorra: La serie,1,8.424999999999999,12
tt2575988,Silicon Valley,3,8.419999999999998,10
tt0098904,Seinfeld,6,8.417391304347827,23
tt0412142,House M.D.,7,8.417391304347827,23
tt0362192,State of Play,1,8.416666666666666,6
tt0248654,Six Feet Under,5,8.416666666666666,12
tt1305826,Adventure Time,10,8.415384615384614,13
tt0472954,It's Always Sunny in Philadelphia,3,8.413333333333332,15
tt0086831,"Yes, Prime Minister",2,8.412500000000001,8
tt1606375,Downton Abbey,5,8.411111111111111,9
tt0081912,Only Fools and Horses....,5,8.41111111111111,9
tt0264235,Curb Your Enthusiasm,5,8.41,10
tt0141842,The Sopranos,4,8.407692307692308,13
tt0121955,South Park,7,8.406666666666666,15
tt1632701,Suits,7,8.40625,16
tt1266020,Parks and Recreation,4,8.404545454545454,22
tt1119644,Fringe,4,8.404545454545453,22
tt0081912,Only Fools and Horses....,2,8.4,8
tt0459159,The Thick of It,3,8.4,8
